"method" "intercept" "coefficient" "intercept.se" "coefficient.se" "r.squared"
"1" "rand" 2.81960565190786 0.333192483424499 0.185640773554083 0.000130444401906336 0.989385206627254
"2" "grid" 2.58250001291952 0.333344221702996 0.1786315960432 0.000125519255610304 0.990172762444971
